"","sample","Cell_A","Cell_A_num","Cell_A_count","Cell_B","Cell_B_num","Cell_B_count ","original_CLQ","percentile","significant"
"162","lepidic_58.6","aSMA+CD90+PDGFRb+PDPN+CAV1+","9","52","CD90-PDGFRb-PDPN-CAV1+","18","35","27.1230769230769","0.85",FALSE
"163","lepidic_58.6","aSMA+CD90+PDGFRb-PDPN+CAV1+","10","2","PanCK+Vim+MUC1+","1","15","0","0.002",TRUE
"164","lepidic_58.6","aSMA+CD90+PDGFRb-PDPN+CAV1+","10","2","PanCK+Vim+MUC1-","2","2198","0","0.002",TRUE
"165","lepidic_58.6","aSMA+CD90+PDGFRb-PDPN+CAV1+","10","2","PanCK+Vim-MUC1+","3","9","0","0.002",TRUE
"166","lepidic_58.6","aSMA+CD90+PDGFRb-PDPN+CAV1+","10","2","PanCK+Vim-MUC1-","4","1916","0","0.002",TRUE
"167","lepidic_58.6","aSMA+CD90+PDGFRb-PDPN+CAV1+","10","2","PanCK-Vim-MUC1-","5","446","0","0.002",TRUE
"168","lepidic_58.6","aSMA+CD90+PDGFRb-PDPN+CAV1+","10","2","PanCK-Vim+MUC1+","6","9","0","0.002",TRUE
"169","lepidic_58.6","aSMA+CD90+PDGFRb-PDPN+CAV1+","10","2","PanCK-Vim+MUC1-","7","765","0","0.002",TRUE
"170","lepidic_58.6","aSMA+CD90+PDGFRb-PDPN+CAV1+","10","2","PanCK-Vim-MUC1+","8","12","0","0.002",TRUE
"171","lepidic_58.6","aSMA+CD90+PDGFRb-PDPN+CAV1+","10","2","aSMA+CD90+PDGFRb+PDPN+CAV1+","9","52","0","0.002",TRUE
"172","lepidic_58.6","aSMA+CD90+PDGFRb-PDPN+CAV1+","10","2","aSMA+CD90+PDGFRb-PDPN+CAV1+","10","2","0","0.002",TRUE
"173","lepidic_58.6","aSMA+CD90+PDGFRb-PDPN+CAV1+","10","2","aSMA+CD90+PDGFRb-PDPN-CAV1+","11","294","0","0.002",TRUE
"174","lepidic_58.6","aSMA+CD90+PDGFRb-PDPN+CAV1+","10","2","aSMA+CD90+PDGFRb-PDPN-CAV1-","12","433","0","0.002",TRUE
"175","lepidic_58.6","aSMA+CD90+PDGFRb-PDPN+CAV1+","10","2","aSMA+CD90-PDGFRb-PDPN-CAV1+","13","283","0","0.002",TRUE
"176","lepidic_58.6","aSMA+CD90+PDGFRb-PDPN+CAV1+","10","2","aSMA+CD90-PDGFRb-PDPN-CAV1-","14","1966","0","0.002",TRUE
